,country_name,indicator_name,year,value,hdi
204,South Asia,Mobile cellular subscriptions (per 100 people),1990,0.000265550349879389,0.441
785,Sub-Saharan Africa,Mobile cellular subscriptions (per 100 people),1990,0.00154676608950508,0.402
1308,World,Mobile cellular subscriptions (per 100 people),1990,0.210930403372686,0.598
1608,World,Individuals using the Internet (% of population),1990,0.0492353503886526,0.598
1805,Albania,Mobile cellular subscriptions (per 100 people),1990,0.0,0.644
1999,Albania,Access to electricity (% of population),1990,100.0,0.644
2021,Albania,Individuals using the Internet (% of population),1990,0.0,0.644
2339,Algeria,Mobile cellular subscriptions (per 100 people),1990,0.001824614,0.578
2635,Algeria,Individuals using the Internet (% of population),1990,0.0,0.578
3495,Argentina,Mobile cellular subscriptions (per 100 people),1990,0.036788768,0.707
3760,Argentina,Individuals using the Internet (% of population),1990,0.0,0.707
4175,Australia,Mobile cellular subscriptions (per 100 people),1990,1.090427418,0.866
4378,Australia,Access to electricity (% of population),1990,100.0,0.866
4435,Australia,Individuals using the Internet (% of population),1990,0.5850947120000001,0.866
4813,Austria,Mobile cellular subscriptions (per 100 people),1990,0.9541492309999999,0.795
4991,Austria,Access to electricity (% of population),1990,100.0,0.795
5044,Austria,Individuals using the Internet (% of population),1990,0.13036937699999998,0.795
5404,Bahrain,Mobile cellular subscriptions (per 100 people),1990,1.037845991,0.736
5632,Bahrain,Individuals using the Internet (% of population),1990,0.0,0.736
5965,Bangladesh,Mobile cellular subscriptions (per 100 people),1990,0.0,0.388
6265,Bangladesh,Individuals using the Internet (% of population),1990,0.0,0.388
6623,Barbados,Mobile cellular subscriptions (per 100 people),1990,0.0,0.732
6875,Barbados,Individuals using the Internet (% of population),1990,0.0,0.732
7120,Belgium,Mobile cellular subscriptions (per 100 people),1990,0.42851957700000004,0.806
7287,Belgium,Access to electricity (% of population),1990,100.0,0.806
7338,Belgium,Individuals using the Internet (% of population),1990,0.00100674,0.806
7629,Belize,Mobile cellular subscriptions (per 100 people),1990,0.0,0.613
7878,Belize,Individuals using the Internet (% of population),1990,0.0,0.613
8275,Benin,Mobile cellular subscriptions (per 100 people),1990,0.0,0.348
8544,Benin,Individuals using the Internet (% of population),1990,0.0,0.348
9331,Botswana,Mobile cellular subscriptions (per 100 people),1990,0.0,0.57
9610,Botswana,Individuals using the Internet (% of population),1990,0.0,0.57
10025,Brazil,Mobile cellular subscriptions (per 100 people),1990,0.000447641,0.613
10243,Brazil,Access to electricity (% of population),1990,87.475116,0.613
10303,Brazil,Individuals using the Internet (% of population),1990,0.0,0.613
10716,Brunei Darussalam,Mobile cellular subscriptions (per 100 people),1990,0.68490768,0.768
10870,Brunei Darussalam,Access to electricity (% of population),1990,100.0,0.768
10913,Brunei Darussalam,Individuals using the Internet (% of population),1990,0.0,0.768
11189,Bulgaria,Mobile cellular subscriptions (per 100 people),1990,0.0,0.694
11389,Bulgaria,Access to electricity (% of population),1990,100.0,0.694
11451,Bulgaria,Individuals using the Internet (% of population),1990,0.0,0.694
12362,Burundi,Mobile cellular subscriptions (per 100 people),1990,0.0,0.295
12609,Burundi,Individuals using the Internet (% of population),1990,0.0,0.295
13504,Cameroon,Mobile cellular subscriptions (per 100 people),1990,0.0,0.445
13809,Cameroon,Individuals using the Internet (% of population),1990,0.0,0.445
14219,Canada,Mobile cellular subscriptions (per 100 people),1990,2.119600735,0.85
14419,Canada,Access to electricity (% of population),1990,100.0,0.85
14477,Canada,Individuals using the Internet (% of population),1990,0.360999701,0.85
14847,Central African Republic,Mobile cellular subscriptions (per 100 people),1990,0.0,0.32
15084,Central African Republic,Individuals using the Internet (% of population),1990,0.0,0.32
