,country_name,indicator_name,year,value,hdi
162,South Asia,"Literacy rate, adult total (% of people ages 15 and above)",1990,45.47370910644529,0.441
743,Sub-Saharan Africa,"Literacy rate, adult total (% of people ages 15 and above)",1990,52.526729583740206,0.402
1267,World,"Literacy rate, adult total (% of people ages 15 and above)",1990,74.3703689575195,0.598
3964,Argentina,"Government expenditure on education, total (% of GDP)",1990,1.0673799514770501,0.707
4615,Australia,"Government expenditure on education, total (% of GDP)",1990,4.675559997558589,0.866
5199,Austria,"Government expenditure on education, total (% of GDP)",1990,4.95725011825562,0.795
6454,Bangladesh,"Government expenditure on education, total (% of GDP)",1990,1.51911997795105,0.388
9817,Botswana,"Government expenditure on education, total (% of GDP)",1990,5.739630222320559,0.57
11002,Brunei Darussalam,"Government expenditure on education, total (% of GDP)",1990,3.95995998382568,0.768
11644,Bulgaria,"Government expenditure on education, total (% of GDP)",1990,4.454060077667241,0.694
12324,Burundi,"Literacy rate, adult total (% of people ages 15 and above)",1990,37.3847198486328,0.295
12770,Burundi,"Government expenditure on education, total (% of GDP)",1990,3.35932993888855,0.295
14016,Cameroon,"Government expenditure on education, total (% of GDP)",1990,3.28710007667542,0.445
14636,Canada,"Government expenditure on education, total (% of GDP)",1990,5.9919900894165,0.85
14667,Canada,Labor force with advanced education (% of total working-age population with advanced education),1990,81.4574966430664,0.85
14670,Canada,Labor force with basic education (% of total working-age population with basic education),1990,58.890098571777294,0.85
14673,Canada,Labor force with intermediate education (% of total working-age population with intermediate education),1990,73.68260192871091,0.85
15244,Central African Republic,"Government expenditure on education, total (% of GDP)",1990,2.2441999912262003,0.32
16452,Chile,"Government expenditure on education, total (% of GDP)",1990,2.2501599788665803,0.703
16635,China,"Literacy rate, adult total (% of people ages 15 and above)",1990,77.7850570678711,0.501
20288,Cyprus,"Government expenditure on education, total (% of GDP)",1990,3.33924007415771,0.731
22190,Ecuador,"Literacy rate, adult total (% of people ages 15 and above)",1990,88.2987594604492,0.642
