,country_name,indicator_name,year,value,hdi
152,South Asia,"Labor force, female (% of total labor force)",1990,24.5155394241854,0.441
349,South Asia,Proportion of seats held by women in national parliaments (%),1990,6.33653741125068,0.441
373,South Asia,"School enrollment, primary (gross), gender parity index (GPI)",1990,0.736959993839264,0.441
380,South Asia,"School enrollment, secondary (gross), gender parity index (GPI)",1990,0.578019976615906,0.441
384,South Asia,"School enrollment, tertiary (gross), gender parity index (GPI)",1990,0.479250013828278,0.441
733,Sub-Saharan Africa,"Labor force, female (% of total labor force)",1990,44.83022721763929,0.402
955,Sub-Saharan Africa,"School enrollment, primary (gross), gender parity index (GPI)",1990,0.830569982528687,0.402
963,Sub-Saharan Africa,"School enrollment, secondary (gross), gender parity index (GPI)",1990,0.7603800296783451,0.402
967,Sub-Saharan Africa,"School enrollment, tertiary (gross), gender parity index (GPI)",1990,0.5202400088310241,0.402
1257,World,"Labor force, female (% of total labor force)",1990,38.99957974089521,0.598
1455,World,Proportion of seats held by women in national parliaments (%),1990,12.733307827938399,0.598
1479,World,"School enrollment, primary (gross), gender parity index (GPI)",1990,0.881749987602234,0.598
1487,World,"School enrollment, secondary (gross), gender parity index (GPI)",1990,0.8448100090026859,0.598
1491,World,"School enrollment, tertiary (gross), gender parity index (GPI)",1990,0.890179991722107,0.598
1765,Albania,"Labor force, female (% of total labor force)",1990,40.9759797120152,0.644
1917,Albania,Proportion of seats held by women in national parliaments (%),1990,28.8,0.644
1932,Albania,"School enrollment, primary (gross), gender parity index (GPI)",1990,1.00459003448486,0.644
1938,Albania,"School enrollment, secondary (gross), gender parity index (GPI)",1990,0.9145200252532959,0.644
1942,Albania,"School enrollment, tertiary (gross), gender parity index (GPI)",1990,1.1055500507354699,0.644
2295,Algeria,"Labor force, female (% of total labor force)",1990,12.812286660831,0.578
2481,Algeria,Proportion of seats held by women in national parliaments (%),1990,2.4,0.578
2501,Algeria,"School enrollment, primary (gross), gender parity index (GPI)",1990,0.841050028800964,0.578
2509,Algeria,"School enrollment, secondary (gross), gender parity index (GPI)",1990,0.774030029773712,0.578
3455,Argentina,"Labor force, female (% of total labor force)",1990,38.11062148650671,0.707
3623,Argentina,Proportion of seats held by women in national parliaments (%),1990,6.3,0.707
3637,Argentina,"School enrollment, primary (gross), gender parity index (GPI)",1990,0.9835000038146969,0.707
4135,Australia,"Labor force, female (% of total labor force)",1990,41.388701493993295,0.866
4273,Australia,Proportion of seats held by women in national parliaments (%),1990,6.1,0.866
4290,Australia,"School enrollment, primary (gross), gender parity index (GPI)",1990,0.9971699714660641,0.866
4297,Australia,"School enrollment, tertiary (gross), gender parity index (GPI)",1990,1.1540900468826298,0.866
4774,Austria,"Labor force, female (% of total labor force)",1990,41.0341677222639,0.795
4909,Austria,Proportion of seats held by women in national parliaments (%),1990,11.5,0.795
4924,Austria,"School enrollment, primary (gross), gender parity index (GPI)",1990,0.996230006217957,0.795
4930,Austria,"School enrollment, secondary (gross), gender parity index (GPI)",1990,0.9146400094032291,0.795
4934,Austria,"School enrollment, tertiary (gross), gender parity index (GPI)",1990,0.881720006465912,0.795
5367,Bahrain,"Labor force, female (% of total labor force)",1990,17.6140447884988,0.736
5535,Bahrain,"School enrollment, primary (gross), gender parity index (GPI)",1990,1.03289997577667,0.736
5540,Bahrain,"School enrollment, secondary (gross), gender parity index (GPI)",1990,1.02330994606018,0.736
5923,Bangladesh,"Labor force, female (% of total labor force)",1990,19.994362829268898,0.388
6102,Bangladesh,Proportion of seats held by women in national parliaments (%),1990,10.3,0.388
6119,Bangladesh,"School enrollment, primary (gross), gender parity index (GPI)",1990,0.84442001581192,0.388
6127,Bangladesh,"School enrollment, secondary (gross), gender parity index (GPI)",1990,0.508189976215363,0.388
6131,Bangladesh,"School enrollment, tertiary (gross), gender parity index (GPI)",1990,0.197960004210472,0.388
6586,Barbados,"Labor force, female (% of total labor force)",1990,46.80847953216371,0.732
6743,Barbados,Proportion of seats held by women in national parliaments (%),1990,3.7,0.732
6758,Barbados,"School enrollment, primary (gross), gender parity index (GPI)",1990,0.992579996585846,0.732
6767,Barbados,"School enrollment, secondary (gross), gender parity index (GPI)",1990,0.9047600030899051,0.732
6773,Barbados,"School enrollment, tertiary (gross), gender parity index (GPI)",1990,1.5023599863052401,0.732
7109,Belgium,"Labor force, female (% of total labor force)",1990,39.089212171491205,0.806
7212,Belgium,Proportion of seats held by women in national parliaments (%),1990,8.5,0.806
7229,Belgium,"School enrollment, primary (gross), gender parity index (GPI)",1990,1.01820003986359,0.806
7235,Belgium,"School enrollment, secondary (gross), gender parity index (GPI)",1990,1.01566994190216,0.806
7239,Belgium,"School enrollment, tertiary (gross), gender parity index (GPI)",1990,0.9661300182342529,0.806
7589,Belize,"Labor force, female (% of total labor force)",1990,29.267781076545802,0.613
7748,Belize,Proportion of seats held by women in national parliaments (%),1990,0.0,0.613
8230,Benin,"Labor force, female (% of total labor force)",1990,41.7440821544039,0.348
8411,Benin,Proportion of seats held by women in national parliaments (%),1990,2.9,0.348
8434,Benin,"School enrollment, primary (gross), gender parity index (GPI)",1990,0.5173000097274779,0.348
9311,Botswana,"Labor force, female (% of total labor force)",1990,40.32158418417121,0.57
9466,Botswana,Proportion of seats held by women in national parliaments (%),1990,5.0,0.57
9482,Botswana,"School enrollment, primary (gross), gender parity index (GPI)",1990,1.06731998920441,0.57
9491,Botswana,"School enrollment, secondary (gross), gender parity index (GPI)",1990,1.0460000038147,0.57
9984,Brazil,"Labor force, female (% of total labor force)",1990,34.292506975861,0.613
10158,Brazil,Proportion of seats held by women in national parliaments (%),1990,5.3,0.613
10682,Brunei Darussalam,"Labor force, female (% of total labor force)",1990,32.8267918941259,0.768
11145,Bulgaria,"Labor force, female (% of total labor force)",1990,48.109165221157895,0.694
11299,Bulgaria,Proportion of seats held by women in national parliaments (%),1990,21.0,0.694
11319,Bulgaria,"School enrollment, primary (gross), gender parity index (GPI)",1990,0.981540024280548,0.694
11325,Bulgaria,"School enrollment, secondary (gross), gender parity index (GPI)",1990,0.996969997882843,0.694
11329,Bulgaria,"School enrollment, tertiary (gross), gender parity index (GPI)",1990,1.15371000766754,0.694
12315,Burundi,"Labor force, female (% of total labor force)",1990,52.0842770436042,0.295
12509,Burundi,"School enrollment, primary (gross), gender parity index (GPI)",1990,0.801169991493225,0.295
12515,Burundi,"School enrollment, secondary (gross), gender parity index (GPI)",1990,0.6066399812698361,0.295
12519,Burundi,"School enrollment, tertiary (gross), gender parity index (GPI)",1990,0.40099999308586104,0.295
13459,Cameroon,"Labor force, female (% of total labor force)",1990,47.9677987290263,0.445
13648,Cameroon,Proportion of seats held by women in national parliaments (%),1990,14.4,0.445
13672,Cameroon,"School enrollment, primary (gross), gender parity index (GPI)",1990,0.8589599728584291,0.445
13680,Cameroon,"School enrollment, secondary (gross), gender parity index (GPI)",1990,0.68502002954483,0.445
14180,Canada,"Labor force, female (% of total labor force)",1990,44.0826687314756,0.85
14315,Canada,Proportion of seats held by women in national parliaments (%),1990,13.3,0.85
14335,Canada,"School enrollment, primary (gross), gender parity index (GPI)",1990,0.992150008678436,0.85
14343,Canada,"School enrollment, secondary (gross), gender parity index (GPI)",1990,1.0086699724197399,0.85
14347,Canada,"School enrollment, tertiary (gross), gender parity index (GPI)",1990,1.22827005386353,0.85
14807,Central African Republic,"Labor force, female (% of total labor force)",1990,46.291810611831295,0.32
14984,Central African Republic,Proportion of seats held by women in national parliaments (%),1990,3.8,0.32
15000,Central African Republic,"School enrollment, primary (gross), gender parity index (GPI)",1990,0.635380029678345,0.32
15008,Central African Republic,"School enrollment, secondary (gross), gender parity index (GPI)",1990,0.39868000149726895,0.32
15012,Central African Republic,"School enrollment, tertiary (gross), gender parity index (GPI)",1990,0.191290006041527,0.32
15947,Chile,"Labor force, female (% of total labor force)",1990,32.1877231711291,0.703
16133,Chile,"School enrollment, primary (gross), gender parity index (GPI)",1990,0.9789400100708009,0.703
16138,Chile,"School enrollment, secondary (gross), gender parity index (GPI)",1990,1.0518499612808199,0.703
16625,China,"Labor force, female (% of total labor force)",1990,45.152227811871995,0.501
16809,China,Proportion of seats held by women in national parliaments (%),1990,21.3,0.501
16831,China,"School enrollment, primary (gross), gender parity index (GPI)",1990,0.8999099731445309,0.501
16837,China,"School enrollment, secondary (gross), gender parity index (GPI)",1990,0.736810028553009,0.501
17303,Colombia,"Labor force, female (% of total labor force)",1990,40.090305655388704,0.6
17484,Colombia,Proportion of seats held by women in national parliaments (%),1990,4.5,0.6
17502,Colombia,"School enrollment, primary (gross), gender parity index (GPI)",1990,1.14655995368958,0.6
18533,Costa Rica,"Labor force, female (% of total labor force)",1990,28.1454169367982,0.655
18712,Costa Rica,Proportion of seats held by women in national parliaments (%),1990,10.5,0.655
18733,Costa Rica,"School enrollment, primary (gross), gender parity index (GPI)",1990,0.983160018920898,0.655
18742,Costa Rica,"School enrollment, secondary (gross), gender parity index (GPI)",1990,1.04112005233765,0.655
19257,Cuba,"Labor force, female (% of total labor force)",1990,35.6948632906942,0.676
19427,Cuba,Proportion of seats held by women in national parliaments (%),1990,33.9,0.676
19449,Cuba,"School enrollment, primary (gross), gender parity index (GPI)",1990,0.959209978580475,0.676
19458,Cuba,"School enrollment, secondary (gross), gender parity index (GPI)",1990,1.12843000888824,0.676
19464,Cuba,"School enrollment, tertiary (gross), gender parity index (GPI)",1990,1.3708300590515101,0.676
19786,Cyprus,"Labor force, female (% of total labor force)",1990,38.3557278510618,0.731
19950,Cyprus,Proportion of seats held by women in national parliaments (%),1990,1.8,0.731
19974,Cyprus,"School enrollment, primary (gross), gender parity index (GPI)",1990,0.998310029506683,0.731
19982,Cyprus,"School enrollment, secondary (gross), gender parity index (GPI)",1990,1.0293799638748198,0.731
19986,Cyprus,"School enrollment, tertiary (gross), gender parity index (GPI)",1990,1.3711199760437,0.731
20463,Denmark,"Labor force, female (% of total labor force)",1990,46.305457663397505,0.799
20606,Denmark,Proportion of seats held by women in national parliaments (%),1990,30.7,0.799
20628,Denmark,"School enrollment, primary (gross), gender parity index (GPI)",1990,1.00312995910645,0.799
20637,Denmark,"School enrollment, secondary (gross), gender parity index (GPI)",1990,1.0222699642181399,0.799
20643,Denmark,"School enrollment, tertiary (gross), gender parity index (GPI)",1990,1.1243599653243999,0.799
21550,Dominican Republic,"Labor force, female (% of total labor force)",1990,30.331880432006198,0.593
21716,Dominican Republic,Proportion of seats held by women in national parliaments (%),1990,7.5,0.593
22180,Ecuador,"Labor force, female (% of total labor force)",1990,37.103958984924,0.642
22359,Ecuador,Proportion of seats held by women in national parliaments (%),1990,4.5,0.642
22834,El Salvador,"Labor force, female (% of total labor force)",1990,34.18806487364,0.529
23004,El Salvador,Proportion of seats held by women in national parliaments (%),1990,11.7,0.529
24356,Fiji,"Labor force, female (% of total labor force)",1990,32.9804076050601,0.64
24900,Finland,"Labor force, female (% of total labor force)",1990,47.1273298733522,0.784
25050,Finland,Proportion of seats held by women in national parliaments (%),1990,31.5,0.784
25067,Finland,"School enrollment, primary (gross), gender parity index (GPI)",1990,0.9950900077819821,0.784
25073,Finland,"School enrollment, secondary (gross), gender parity index (GPI)",1990,1.18059003353119,0.784
25077,Finland,"School enrollment, tertiary (gross), gender parity index (GPI)",1990,1.10810995101929,0.784
25581,France,"Labor force, female (% of total labor force)",1990,43.1931943277018,0.78
25723,France,Proportion of seats held by women in national parliaments (%),1990,6.9,0.78
25742,France,"School enrollment, primary (gross), gender parity index (GPI)",1990,0.981939971446991,0.78
25749,France,"School enrollment, secondary (gross), gender parity index (GPI)",1990,1.06582999229431,0.78
25755,France,"School enrollment, tertiary (gross), gender parity index (GPI)",1990,1.13771998882294,0.78
26259,Gabon,"Labor force, female (% of total labor force)",1990,39.179967981740106,0.619
26422,Gabon,Proportion of seats held by women in national parliaments (%),1990,13.3,0.619
26435,Gabon,"School enrollment, tertiary (gross), gender parity index (GPI)",1990,0.42794001102447493,0.619
26826,Germany,"Labor force, female (% of total labor force)",1990,40.614154598411105,0.801
27416,Ghana,"Labor force, female (% of total labor force)",1990,47.803482696003705,0.454
27614,Ghana,"School enrollment, primary (gross), gender parity index (GPI)",1990,0.8431500196456909,0.454
27619,Ghana,"School enrollment, secondary (gross), gender parity index (GPI)",1990,0.6625199913978579,0.454
28017,Greece,"Labor force, female (% of total labor force)",1990,35.754911588902395,0.753
28155,Greece,Proportion of seats held by women in national parliaments (%),1990,6.7,0.753
28176,Greece,"School enrollment, primary (gross), gender parity index (GPI)",1990,0.996800005435944,0.753
28185,Greece,"School enrollment, secondary (gross), gender parity index (GPI)",1990,0.975759983062744,0.753
28189,Greece,"School enrollment, tertiary (gross), gender parity index (GPI)",1990,1.0556499958038301,0.753
28648,Guatemala,"Labor force, female (% of total labor force)",1990,31.714287732982896,0.477
