,Country Name,Country Code,Indicator Name,Indicator Code,Year,Value,HDI
0,South Asia,SAS,"Population, total",SP.POP.TOTL,1990,1133495196.0,0.441
1,South Asia,SAS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,58.14480099,0.441
2,South Asia,SAS,GDP (current US$),NY.GDP.MKTP.CD,1990,407227000000.0,0.441
4,South Asia,SAS,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,26.9171026,0.441
5,Sub-Saharan Africa,SSF,"Population, total",SP.POP.TOTL,1990,509451851.0,0.402
6,Sub-Saharan Africa,SSF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,50.21457418,0.402
7,Sub-Saharan Africa,SSF,GDP (current US$),NY.GDP.MKTP.CD,1990,337823000000.0,0.402
9,Sub-Saharan Africa,SSF,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,20.33775489,0.402
10,World,WLD,"Population, total",SP.POP.TOTL,1990,5281340078.0,0.598
11,World,WLD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,65.4337949,0.598
12,World,WLD,GDP (current US$),NY.GDP.MKTP.CD,1990,22655600000000.0,0.598
15,Afghanistan,AFG,"Population, total",SP.POP.TOTL,1990,12412308.0,0.298
16,Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,50.331,0.298
20,Albania,ALB,"Population, total",SP.POP.TOTL,1990,3286542.0,0.644
21,Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,71.836,0.644
22,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1990,2028553750.0,0.644
25,Algeria,DZA,"Population, total",SP.POP.TOTL,1990,25758869.0,0.578
26,Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,66.938,0.578
27,Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,1990,62045099643.0,0.578
30,Andorra,AND,"Population, total",SP.POP.TOTL,1990,54509.0,..
32,Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,1990,1029048482.0,..
35,Angola,AGO,"Population, total",SP.POP.TOTL,1990,11848386.0,..
36,Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,45.306000000000004,..
37,Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,1990,11228764963.0,..
40,Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1990,62528.0,..
41,Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,71.52,..
42,Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1990,459469058.9,..
44,Antigua and Barbuda,ATG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,1.7807386969999999,..
45,Argentina,ARG,"Population, total",SP.POP.TOTL,1990,32618651.0,0.707
46,Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,71.594,0.707
47,Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,1990,141352000000.0,0.707
49,Argentina,ARG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,8.123676208,0.707
50,Armenia,ARM,"Population, total",SP.POP.TOTL,1990,3538171.0,0.633
51,Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,67.87899999999999,0.633
52,Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,1990,2256838858.0,0.633
55,Australia,AUS,"Population, total",SP.POP.TOTL,1990,17065100.0,0.866
56,Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,76.99463415,0.866
57,Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1990,310777000000.0,0.866
59,Australia,AUS,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,4.209183989,0.866
60,Austria,AUT,"Population, total",SP.POP.TOTL,1990,7677850.0,0.795
61,Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,75.56829268,0.795
62,Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,1990,166463000000.0,0.795
64,Austria,AUT,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,3.0971197189999997,0.795
65,Azerbaijan,AZE,"Population, total",SP.POP.TOTL,1990,7159000.0,..
66,Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,64.827,..
67,Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,1990,8858006036.0,..
69,Azerbaijan,AZE,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,26.50068213,..
70,Bahrain,BHR,"Population, total",SP.POP.TOTL,1990,495931.0,0.736
71,Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,72.39,0.736
72,Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,1990,4229787234.0,0.736
74,Bahrain,BHR,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,0.949346076,0.736
75,Bangladesh,BGD,"Population, total",SP.POP.TOTL,1990,103171956.0,0.388
76,Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,58.21,0.388
77,Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,1990,31598341234.0,0.388
79,Bangladesh,BGD,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,30.489833100000002,0.388
80,Barbados,BRB,"Population, total",SP.POP.TOTL,1990,260936.0,0.732
81,Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,74.704,0.732
82,Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1990,2023318252.0,0.732
84,Barbados,BRB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,3.425482246,0.732
85,Belarus,BLR,"Population, total",SP.POP.TOTL,1990,10189000.0,..
86,Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,70.83658537,..
