,country_name,indicator_name,year,value,hdi
14,South Asia,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,26.9171025991253,0.441
100,South Asia,GDP (current US$),1990,407227359762.896,0.441
103,South Asia,GDP per capita (current US$),1990,359.266948108791,0.441
159,South Asia,"Life expectancy at birth, total (years)",1990,58.144800985235904,0.441
333,South Asia,"Population, total",1990,1133495196.0,0.441
428,South Asia,"GNI per capita, Atlas method (current US$)",1990,378.04676299399904,0.441
593,Sub-Saharan Africa,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,20.3377548940829,0.402
679,Sub-Saharan Africa,GDP (current US$),1990,337823354390.896,0.402
682,Sub-Saharan Africa,GDP per capita (current US$),1990,663.111447583878,0.402
740,Sub-Saharan Africa,"Life expectancy at birth, total (years)",1990,50.214574180677396,0.402
914,Sub-Saharan Africa,"Population, total",1990,509451851.0,0.402
1006,Sub-Saharan Africa,"GNI per capita, Atlas method (current US$)",1990,624.972128631751,0.402
1205,World,GDP (current US$),1990,22655565772584.1,0.598
1208,World,GDP per capita (current US$),1990,4289.73810396312,0.598
1264,World,"Life expectancy at birth, total (years)",1990,65.4337949003055,0.598
1436,World,"Population, total",1990,5281340078.0,0.598
1534,World,"GNI per capita, Atlas method (current US$)",1990,4214.39941449238,0.598
1720,Albania,GDP (current US$),1990,2028553750.0,0.644
1723,Albania,GDP per capita (current US$),1990,617.230435515505,0.644
1772,Albania,"Life expectancy at birth, total (years)",1990,71.836,0.644
1909,Albania,"Population, total",1990,3286542.0,0.644
1973,Albania,"GNI per capita, Atlas method (current US$)",1990,650.0,0.644
2243,Algeria,GDP (current US$),1990,62045099642.7774,0.578
2246,Algeria,GDP per capita (current US$),1990,2408.6888148224803,0.578
2302,Algeria,"Life expectancy at birth, total (years)",1990,66.938,0.578
2462,Algeria,"Population, total",1990,25758869.0,0.578
2553,Algeria,"GNI per capita, Atlas method (current US$)",1990,2370.0,0.578
3327,Argentina,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,8.123676207874889,0.707
3406,Argentina,GDP (current US$),1990,141352368714.691,0.707
3409,Argentina,GDP per capita (current US$),1990,4333.4829731214595,0.707
3462,Argentina,"Life expectancy at birth, total (years)",1990,71.594,0.707
3612,Argentina,"Population, total",1990,32618651.0,0.707
3673,Argentina,"GNI per capita, Atlas method (current US$)",1990,3190.0,0.707
4001,Australia,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,4.20918398930309,0.866
4085,Australia,GDP (current US$),1990,310777222008.465,0.866
4088,Australia,GDP per capita (current US$),1990,18211.2745901556,0.866
4142,Australia,"Life expectancy at birth, total (years)",1990,76.9946341463415,0.866
4262,Australia,"Population, total",1990,17065100.0,0.866
4336,Australia,"GNI per capita, Atlas method (current US$)",1990,17300.0,0.866
4661,Austria,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,3.09711971941306,0.795
4728,Austria,GDP (current US$),1990,166463386663.439,0.795
4731,Austria,GDP per capita (current US$),1990,21680.9896863626,0.795
4780,Austria,"Life expectancy at birth, total (years)",1990,75.56829268292691,0.795
4899,Austria,"Population, total",1990,7677850.0,0.795
4965,Austria,"GNI per capita, Atlas method (current US$)",1990,20630.0,0.795
5247,Bahrain,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,0.949346076458752,0.736
5319,Bahrain,GDP (current US$),1990,4229787234.04255,0.736
5322,Bahrain,GDP per capita (current US$),1990,8528.98333446095,0.736
5373,Bahrain,"Life expectancy at birth, total (years)",1990,72.39,0.736
5507,Bahrain,"Population, total",1990,495931.0,0.736
5581,Bahrain,"GNI per capita, Atlas method (current US$)",1990,9070.0,0.736
5790,Bangladesh,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,30.489833096135,0.388
5872,Bangladesh,GDP (current US$),1990,31598341233.559,0.388
5875,Bangladesh,GDP per capita (current US$),1990,306.268703808998,0.388
5930,Bangladesh,"Life expectancy at birth, total (years)",1990,58.21,0.388
6089,Bangladesh,"Population, total",1990,103171956.0,0.388
6175,Bangladesh,"GNI per capita, Atlas method (current US$)",1990,320.0,0.388
6472,Barbados,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,3.42548224597616,0.732
6535,Barbados,GDP (current US$),1990,2023318251.8769,0.732
6538,Barbados,GDP per capita (current US$),1990,7754.078593512951,0.732
6593,Barbados,"Life expectancy at birth, total (years)",1990,74.704,0.732
6730,Barbados,"Population, total",1990,260936.0,0.732
6814,Barbados,"GNI per capita, Atlas method (current US$)",1990,6810.0,0.732
7065,Belgium,GDP (current US$),1990,205331747706.422,0.806
7068,Belgium,GDP per capita (current US$),1990,20600.375254760802,0.806
7114,Belgium,"Life expectancy at birth, total (years)",1990,76.0519512195122,0.806
7205,Belgium,"Population, total",1990,9967379.0,0.806
7268,Belgium,"GNI per capita, Atlas method (current US$)",1990,19310.0,0.806
7483,Belize,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,17.2541393368695,0.613
7540,Belize,GDP (current US$),1990,412086445.492177,0.613
7543,Belize,GDP per capita (current US$),1990,2197.1850233118103,0.613
7596,Belize,"Life expectancy at birth, total (years)",1990,71.242,0.613
7738,Belize,"Population, total",1990,187552.0,0.613
7795,Belize,"GNI per capita, Atlas method (current US$)",1990,2260.0,0.613
8099,Benin,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,34.6549453638938,0.348
8178,Benin,GDP (current US$),1990,1959965243.7626898,0.348
8181,Benin,GDP per capita (current US$),1990,393.68621442353106,0.348
8237,Benin,"Life expectancy at birth, total (years)",1990,53.812,0.348
8395,Benin,"Population, total",1990,4978496.0,0.348
8465,Benin,"GNI per capita, Atlas method (current US$)",1990,370.0,0.348
9175,Botswana,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,4.52615085751558,0.57
9257,Botswana,GDP (current US$),1990,3790567051.8677797,0.57
9260,Botswana,GDP per capita (current US$),1990,2945.83203953801,0.57
9317,Botswana,"Life expectancy at birth, total (years)",1990,59.191,0.57
9447,Botswana,"Population, total",1990,1286756.0,0.57
9528,Botswana,"GNI per capita, Atlas method (current US$)",1990,2720.0,0.57
9856,Brazil,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,6.873300858919509,0.613
9934,Brazil,GDP (current US$),1990,461951782000.0,0.613
9937,Brazil,GDP per capita (current US$),1990,3100.28046842987,0.613
9991,Brazil,"Life expectancy at birth, total (years)",1990,66.343,0.613
10150,Brazil,"Population, total",1990,149003223.0,0.613
10203,Brazil,"GNI per capita, Atlas method (current US$)",1990,2730.0,0.613
10573,Brunei Darussalam,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,0.9661416705845479,0.768
10638,Brunei Darussalam,GDP (current US$),1990,3520551724.13793,0.768
10641,Brunei Darussalam,GDP per capita (current US$),1990,13607.5220957631,0.768
10689,Brunei Darussalam,"Life expectancy at birth, total (years)",1990,70.185,0.768
10818,Brunei Darussalam,"Population, total",1990,258721.0,0.768
10856,Brunei Darussalam,"GNI per capita, Atlas method (current US$)",1990,12460.0,0.768
11019,Bulgaria,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,17.7459650235952,0.694
11091,Bulgaria,GDP (current US$),1990,20632090909.0909,0.694
11094,Bulgaria,GDP per capita (current US$),1990,2366.52982128614,0.694
11152,Bulgaria,"Life expectancy at birth, total (years)",1990,71.6414634146342,0.694
11282,Bulgaria,"Population, total",1990,8718289.0,0.694
11363,Bulgaria,"GNI per capita, Atlas method (current US$)",1990,2250.0,0.694
12209,Burundi,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,51.0568501841364,0.295
12264,Burundi,GDP (current US$),1990,1132101252.5181699,0.295
12267,Burundi,GDP per capita (current US$),1990,208.146755438253,0.295
12321,Burundi,"Life expectancy at birth, total (years)",1990,47.82899999999999,0.295
12479,Burundi,"Population, total",1990,5438957.0,0.295
12552,Burundi,"GNI per capita, Atlas method (current US$)",1990,220.0,0.295
13321,Cameroon,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,23.9948703358418,0.445
13405,Cameroon,GDP (current US$),1990,11151578050.7356,0.445
13408,Cameroon,GDP per capita (current US$),1990,946.646413060374,0.445
13466,Cameroon,"Life expectancy at birth, total (years)",1990,53.361999999999995,0.445
13629,Cameroon,"Population, total",1990,11780088.0,0.445
13724,Cameroon,"GNI per capita, Atlas method (current US$)",1990,940.0,0.445
14132,Canada,GDP (current US$),1990,593929550908.468,0.85
14135,Canada,GDP per capita (current US$),1990,21448.3619600057,0.85
14187,Canada,"Life expectancy at birth, total (years)",1990,77.42195121951221,0.85
14305,Canada,"Population, total",1990,27691138.0,0.85
14386,Canada,"GNI per capita, Atlas method (current US$)",1990,20640.0,0.85
14757,Central African Republic,GDP (current US$),1990,1440711395.67069,0.32
14760,Central African Republic,GDP per capita (current US$),1990,513.305284957779,0.32
14813,Central African Republic,"Life expectancy at birth, total (years)",1990,49.104,0.32
14965,Central African Republic,"Population, total",1990,2806734.0,0.32
15042,Central African Republic,"GNI per capita, Atlas method (current US$)",1990,480.0,0.32
15817,Chile,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,8.23652231398093,0.703
15896,Chile,GDP (current US$),1990,33113887817.9731,0.703
15899,Chile,GDP per capita (current US$),1990,2494.52566886254,0.703
15954,Chile,"Life expectancy at birth, total (years)",1990,73.509,0.703
16106,Chile,"Population, total",1990,13274623.0,0.703
