,Unnamed: 0,country_name,indicator_name,year,value,hdi
6967,0,Afghanistan,Education Index,2014,0.40299999999999997,0.488
6968,1,Albania,Education Index,2014,0.774,0.787
6969,2,Algeria,Education Index,2014,0.662,0.7490000000000001
6970,3,Andorra,Education Index,2014,0.715,0.853
6971,4,Angola,Education Index,2014,0.46,0.557
6972,5,Antigua,Education Index,2014,0.652,
6973,6,Argentina,Education Index,2014,0.826,0.825
6974,7,Armenia,Education Index,2014,0.746,0.746
6975,8,Australia,Education Index,2014,0.9079999999999999,0.929
6976,9,Austria,Education Index,2014,0.8540000000000001,0.904
6977,10,Azerbaijan,Education Index,2014,0.6729999999999999,0.746
6978,11,Bahamas,Education Index,2014,0.727,0.7959999999999999
6979,12,Bahrain,Education Index,2014,0.685,0.81
6980,13,Bangladesh,Education Index,2014,0.451,0.5720000000000001
6981,14,Barbados,Education Index,2014,0.777,0.812
6982,15,Belarus,Education Index,2014,0.838,0.8109999999999999
6983,16,Belgium,Education Index,2014,0.883,0.91
6984,17,Belize,Education Index,2014,0.669,0.71
6985,18,Benin,Education Index,2014,0.46,0.505
6986,19,Bhutan,Education Index,2014,0.434,0.601
6987,20,Bolivia,Education Index,2014,0.66,
6988,21,Bosnia,Education Index,2014,0.695,
6989,22,Botswana,Education Index,2014,0.653,0.7090000000000001
6990,23,Brazil,Education Index,2014,0.674,0.755
6991,24,Brunei,Education Index,2014,0.71,
6992,25,Bulgaria,Education Index,2014,0.7859999999999999,0.797
6993,26,Burkina,Education Index,2014,0.264,
6994,27,Burundi,Education Index,2014,0.419,0.429
6995,28,Cabo,Education Index,2014,0.5379999999999999,
6996,29,Cambodia,Education Index,2014,0.465,0.561
6997,30,Cameroon,Education Index,2014,0.531,0.54
6998,31,Canada,Education Index,2014,0.878,0.914
6999,32,Central,Education Index,2014,0.33399999999999996,
7000,33,Chad,Education Index,2014,0.295,0.406
7001,34,Chile,Education Index,2014,0.784,0.8340000000000001
7002,35,China,Education Index,2014,0.633,0.735
7003,36,Colombia,Education Index,2014,0.6659999999999999,0.75
7004,37,Comoros,Education Index,2014,0.47,0.534
7005,38,Congo,Education Index,2014,0.522,0.595
7006,39,Congo,Education Index,2014,0.484,0.595
7007,40,Costa,Education Index,2014,0.713,
7008,41,Croatia,Education Index,2014,0.797,0.8270000000000001
7009,42,Cuba,Education Index,2014,0.765,0.764
7010,43,Cyprus,Education Index,2014,0.7929999999999999,0.856
7011,44,Czechia,Education Index,2014,0.893,0.879
7012,45,Côte,Education Index,2014,0.389,
7013,46,Denmark,Education Index,2014,0.927,0.9279999999999999
7014,47,Djibouti,Education Index,2014,0.314,0.475
7015,48,Dominica,Education Index,2014,0.631,0.732
7016,49,Dominican,Education Index,2014,0.6409999999999999,
7017,50,Ecuador,Education Index,2014,0.695,0.75
7018,51,Egypt,Education Index,2014,0.586,0.6829999999999999
7019,52,El,Education Index,2014,0.568,
7020,53,Equatorial,Education Index,2014,0.439,
7021,54,Eritrea,Education Index,2014,0.29,0.436
7022,55,Estonia,Education Index,2014,0.87,0.865
7023,56,Eswatini,Education Index,2014,0.532,
7024,57,Ethiopia,Education Index,2014,0.32299999999999995,0.446
7025,58,Fiji,Education Index,2014,0.753,0.7120000000000001
7026,59,Finland,Education Index,2014,0.9129999999999999,0.9179999999999999
7027,60,France,Education Index,2014,0.8109999999999999,0.887
7028,61,Gabon,Education Index,2014,0.618,0.688
7029,62,Gambia,Education Index,2014,0.36200000000000004,0.449
7030,63,Georgia,Education Index,2014,0.816,0.764
7031,64,Germany,Education Index,2014,0.9359999999999999,0.93
7032,65,Ghana,Education Index,2014,0.54,0.5770000000000001
7033,66,Greece,Education Index,2014,0.831,0.866
7034,67,Grenada,Education Index,2014,0.747,0.752
7035,68,Guatemala,Education Index,2014,0.51,0.643
7036,69,Guinea,Education Index,2014,0.34,0.446
7037,70,Guinea-Bissau,Education Index,2014,0.397,0.45
7038,71,Guyana,Education Index,2014,0.597,0.66
7039,72,Haiti,Education Index,2014,0.424,0.488
7040,73,Honduras,Education Index,2014,0.484,0.606
7041,74,Hong,Education Index,2014,0.846,
7042,75,Hungary,Education Index,2014,0.821,0.833
7043,76,Iceland,Education Index,2014,0.9059999999999999,0.924
7044,77,India,Education Index,2014,0.53,0.618
7045,78,Indonesia,Education Index,2014,0.615,0.691
7046,79,Iran,Education Index,2014,0.738,
7047,80,Iraq,Education Index,2014,0.501,0.662
7048,81,Ireland,Education Index,2014,0.91,0.92
7049,82,Israel,Education Index,2014,0.875,0.9
7050,83,Italy,Education Index,2014,0.7879999999999999,0.8740000000000001
7051,84,Jamaica,Education Index,2014,0.6809999999999999,0.72
7052,85,Japan,Education Index,2014,0.838,0.904
7053,86,Jordan,Education Index,2014,0.672,0.72
7054,87,Kazakhstan,Education Index,2014,0.8059999999999999,0.7979999999999999
7055,88,Kenya,Education Index,2014,0.51,0.556
7056,89,Kiribati,Education Index,2014,0.595,0.613
7057,90,Korea,Education Index,2014,0.862,
7058,91,Kuwait,Education Index,2014,0.605,0.8
7059,92,Kyrgyzstan,Education Index,2014,0.728,0.6629999999999999
7060,93,Lao,Education Index,2014,0.47700000000000004,
7061,94,Latvia,Education Index,2014,0.856,0.836
7062,95,Lebanon,Education Index,2014,0.598,0.732
7063,96,Lesotho,Education Index,2014,0.502,0.493
7064,97,Liberia,Education Index,2014,0.42100000000000004,0.46399999999999997
7065,98,Libya,Education Index,2014,0.609,0.693
7066,99,Liechtenstein,Education Index,2014,0.818,0.9109999999999999
7067,100,Lithuania,Education Index,2014,0.878,0.852
7068,101,Luxembourg,Education Index,2014,0.7829999999999999,0.895
7069,102,Madagascar,Education Index,2014,0.494,0.512
7070,103,Malawi,Education Index,2014,0.456,0.47200000000000003
7071,104,Malaysia,Education Index,2014,0.708,0.792
7072,105,Maldives,Education Index,2014,0.546,0.7020000000000001
7073,106,Mali,Education Index,2014,0.285,0.414
7074,107,Malta,Education Index,2014,0.7979999999999999,0.868
7075,109,Mauritania,Education Index,2014,0.381,0.518
7076,110,Mauritius,Education Index,2014,0.7290000000000001,0.7859999999999999
7077,111,Mexico,Education Index,2014,0.655,0.754
7078,112,Micronesia,Education Index,2014,0.561,
7079,113,Moldova,Education Index,2014,0.713,
7080,114,Mongolia,Education Index,2014,0.746,0.733
7081,115,Montenegro,Education Index,2014,0.7909999999999999,0.8029999999999999
7082,116,Morocco,Education Index,2014,0.511,0.653
7083,117,Mozambique,Education Index,2014,0.36700000000000005,0.42
7084,118,Myanmar,Education Index,2014,0.431,0.5579999999999999
7085,119,Namibia,Education Index,2014,0.565,0.631
7086,120,Nepal,Education Index,2014,0.488,0.562
7087,121,Netherlands,Education Index,2014,0.902,0.925
7088,122,New,Education Index,2014,0.907,
7089,123,Nicaragua,Education Index,2014,0.5529999999999999,0.64
7090,124,Niger,Education Index,2014,0.217,0.353
7091,125,Nigeria,Education Index,2014,0.47100000000000003,0.523
7092,126,North,Education Index,2014,0.6759999999999999,
7093,127,Norway,Education Index,2014,0.907,0.945
7094,128,Oman,Education Index,2014,0.6940000000000001,0.815
7095,129,Pakistan,Education Index,2014,0.395,0.546
7096,130,Palau,Education Index,2014,0.863,0.809
7097,131,"Palestine,",Education Index,2014,0.655,
7098,132,Panama,Education Index,2014,0.6809999999999999,0.779
7099,133,Papua,Education Index,2014,0.42,
7100,134,Paraguay,Education Index,2014,0.624,0.7120000000000001
7101,135,Peru,Education Index,2014,0.696,0.752
7102,136,Philippines,Education Index,2014,0.6609999999999999,0.6970000000000001
7103,137,Poland,Education Index,2014,0.8490000000000001,0.853
7104,138,Portugal,Education Index,2014,0.755,0.84
7105,139,Qatar,Education Index,2014,0.679,0.8540000000000001
7106,140,Romania,Education Index,2014,0.765,0.8029999999999999
7107,141,Russian,Education Index,2014,0.8059999999999999,
7108,142,Rwanda,Education Index,2014,0.445,0.513
7109,143,Saint,Education Index,2014,0.6579999999999999,
7110,144,Saint,Education Index,2014,0.64,
7111,145,Saint,Education Index,2014,0.65,
7112,146,Samoa,Education Index,2014,0.7,0.698
7113,147,Sao,Education Index,2014,0.5,
7114,148,Saudi,Education Index,2014,0.787,
7115,149,Senegal,Education Index,2014,0.348,0.501
7116,150,Serbia,Education Index,2014,0.7559999999999999,0.78
7117,151,Seychelles,Education Index,2014,0.754,0.7959999999999999
7118,152,Sierra,Education Index,2014,0.374,
7119,153,Singapore,Education Index,2014,0.828,0.9279999999999999
7120,154,Slovakia,Education Index,2014,0.821,0.845
7121,155,Slovenia,Education Index,2014,0.8759999999999999,0.8859999999999999
7122,156,Solomon,Education Index,2014,0.466,
7123,157,South,Education Index,2014,0.705,
7124,158,South,Education Index,2014,0.309,
7125,159,Spain,Education Index,2014,0.813,0.88
7126,160,Sri,Education Index,2014,0.7490000000000001,
7127,161,Sudan,Education Index,2014,0.327,0.496
7128,162,Suriname,Education Index,2014,0.642,0.726
7129,163,Sweden,Education Index,2014,0.909,0.929
7130,164,Switzerland,Education Index,2014,0.8909999999999999,0.9390000000000001
7131,165,Syrian,Education Index,2014,0.431,
7132,166,Tajikistan,Education Index,2014,0.664,0.642
7133,167,Tanzania,Education Index,2014,0.418,
7134,168,Thailand,Education Index,2014,0.629,0.7390000000000001
7135,169,Timor-Leste,Education Index,2014,0.498,0.608
7136,170,Togo,Education Index,2014,0.491,0.495
7137,171,Tonga,Education Index,2014,0.7340000000000001,0.6990000000000001
7138,172,Trinidad,Education Index,2014,0.7040000000000001,
7139,173,Tunisia,Education Index,2014,0.64,0.728
7140,174,Turkey,Education Index,2014,0.7040000000000001,0.792
7141,175,Turkmenistan,Education Index,2014,0.627,0.696
7142,176,Uganda,Education Index,2014,0.495,0.509
7143,177,Ukraine,Education Index,2014,0.794,0.747
7144,178,United,Education Index,2014,0.711,
7145,179,United,Education Index,2014,0.92,
7146,180,United,Education Index,2014,0.892,
7147,181,Uruguay,Education Index,2014,0.736,0.8
7148,182,Uzbekistan,Education Index,2014,0.7020000000000001,0.693
7149,183,Vanuatu,Education Index,2014,0.529,0.589
7150,184,Venezuela,Education Index,2014,0.725,
7151,185,Viet,Education Index,2014,0.613,
7152,186,Yemen,Education Index,2014,0.34299999999999997,0.504
7153,187,Zambia,Education Index,2014,0.53,0.565
7154,188,Zimbabwe,Education Index,2014,0.557,0.537
7155,189,Afghanistan,Education Index,2015,0.405,0.49
7156,190,Albania,Education Index,2015,0.77,0.7879999999999999
7157,191,Algeria,Education Index,2015,0.6629999999999999,0.7509999999999999
7158,192,Andorra,Education Index,2015,0.7040000000000001,0.85
7159,193,Angola,Education Index,2015,0.47200000000000003,0.565
7160,194,Antigua,Education Index,2015,0.654,
7161,195,Argentina,Education Index,2015,0.8320000000000001,0.828
7162,196,Armenia,Education Index,2015,0.746,0.748
7163,197,Australia,Education Index,2015,0.9179999999999999,0.9329999999999999
7164,198,Austria,Education Index,2015,0.861,0.9059999999999999
7165,199,Azerbaijan,Education Index,2015,0.68,0.7490000000000001
7166,200,Bahamas,Education Index,2015,0.731,0.799
7167,201,Bahrain,Education Index,2015,0.728,0.8340000000000001
7168,202,Bangladesh,Education Index,2015,0.479,0.588
7169,203,Barbados,Education Index,2015,0.777,0.812
7170,204,Belarus,Education Index,2015,0.8370000000000001,0.8109999999999999
7171,205,Belgium,Education Index,2015,0.89,0.9129999999999999
7172,206,Belize,Education Index,2015,0.674,0.715
7173,207,Benin,Education Index,2015,0.473,0.51
7174,208,Bhutan,Education Index,2015,0.436,0.606
7175,209,Bolivia,Education Index,2015,0.665,
7176,210,Bosnia,Education Index,2015,0.687,
7177,211,Botswana,Education Index,2015,0.657,0.7140000000000001
7178,212,Brazil,Education Index,2015,0.677,0.755
7179,213,Brunei,Education Index,2015,0.705,
7180,214,Bulgaria,Education Index,2015,0.8109999999999999,0.807
7181,215,Burkina,Education Index,2015,0.27699999999999997,
7182,216,Burundi,Education Index,2015,0.424,0.42700000000000005
7183,217,Cabo,Education Index,2015,0.54,
7184,218,Cambodia,Education Index,2015,0.46799999999999997,0.5660000000000001
7185,219,Cameroon,Education Index,2015,0.545,0.5479999999999999
7186,220,Canada,Education Index,2015,0.885,0.917
7187,221,Central,Education Index,2015,0.33899999999999997,
7188,222,Chad,Education Index,2015,0.28300000000000003,0.40299999999999997
7189,223,Chile,Education Index,2015,0.792,0.8390000000000001
7190,224,China,Education Index,2015,0.642,0.742
7191,225,Colombia,Education Index,2015,0.669,0.753
7192,226,Comoros,Education Index,2015,0.47100000000000003,0.535
7193,227,Congo,Education Index,2015,0.5329999999999999,0.614
7194,228,Congo,Education Index,2015,0.478,0.614
7195,229,Costa,Education Index,2015,0.71,
7196,230,Croatia,Education Index,2015,0.7959999999999999,0.83
7197,231,Cuba,Education Index,2015,0.768,0.768
7198,232,Cyprus,Education Index,2015,0.8009999999999999,0.8640000000000001
7199,233,Czechia,Education Index,2015,0.8909999999999999,0.882
7200,234,Côte,Education Index,2015,0.418,
7201,235,Denmark,Education Index,2015,0.9179999999999999,0.9259999999999999
